prediction_month,train_start,train_end,train_races,train_horses,calibration_start,calibration_end,calibration_races,temperature,calibration_brier,evaluation_races,evaluation_horses
2025-09,2012-01-05,2025-08-31,15236,206389,2025-06-01,2025-08-31,283,0.7,0.06602489948574881,80,969
2025-10,2012-01-05,2025-09-30,15316,207358,2025-07-05,2025-09-28,273,0.7,0.0668552380598637,92,1233
2025-11,2012-01-05,2025-10-31,15408,208591,2025-08-02,2025-10-26,280,0.7,0.06534059255265032,123,1672
2025-12,2012-01-05,2025-11-30,15531,210263,2025-09-06,2025-11-30,295,0.85,0.06510721785083708,99,1340
2026-01,2012-01-05,2025-12-31,15630,211603,2025-10-04,2025-12-28,314,0.85,0.0637975912218279,160,2155
2026-02,2012-01-05,2026-01-31,15790,213758,2025-11-01,2026-01-31,382,0.85,0.0640208884404769,171,2326
2026-03,2012-01-05,2026-02-28,15961,216084,2025-12-06,2026-02-28,430,0.85,0.06411976889330626,182,2422
2026-04,2012-01-05,2026-03-31,16143,218506,2026-01-04,2026-03-29,513,0.85,0.06434642318134329,160,2127
2026-05,2012-01-05,2026-04-30,16303,220633,2026-02-01,2026-04-26,513,0.7,0.06419791354917972,206,2792
2026-06,2012-01-05,2026-05-31,16509,223425,2026-03-01,2026-05-31,548,0.7,0.06332956726962982,135,1765
2026-07,2012-01-05,2026-06-30,16644,225190,2026-04-04,2026-06-28,501,0.7,0.06317481432556592,144,1804
2026-08,2012-01-05,2026-07-31,16788,226994,2026-05-02,2026-07-26,485,0.7,0.06474175298787786,75,923
