prediction_month,train_start,train_end,train_races,train_horses,calibration_start,calibration_end,calibration_races,temperature,calibration_brier,evaluation_races,evaluation_horses
2025-09,2012-01-05,2025-08-31,15236,206389,2025-06-01,2025-08-31,283,0.85,0.0660654587596983,80,969
2025-10,2012-01-05,2025-09-30,15316,207358,2025-07-05,2025-09-28,273,0.7,0.06696153834577678,92,1233
2025-11,2012-01-05,2025-10-31,15408,208591,2025-08-02,2025-10-26,280,0.7,0.06546015868199037,123,1672
2025-12,2012-01-05,2025-11-30,15531,210263,2025-09-06,2025-11-30,295,0.85,0.06492932025682749,99,1340
2026-01,2012-01-05,2025-12-31,15630,211603,2025-10-04,2025-12-28,314,0.85,0.06333734453877618,160,2155
2026-02,2012-01-05,2026-01-31,15790,213758,2025-11-01,2026-01-31,382,0.85,0.06359823225690277,171,2326
2026-03,2012-01-05,2026-02-28,15961,216084,2025-12-06,2026-02-28,430,0.7,0.06318806844388784,182,2422
2026-04,2012-01-05,2026-03-31,16143,218506,2026-01-04,2026-03-29,513,0.85,0.0638205476934859,160,2127
2026-05,2012-01-05,2026-04-30,16303,220633,2026-02-01,2026-04-26,513,0.85,0.06417638198861632,206,2792
2026-06,2012-01-05,2026-05-31,16509,223425,2026-03-01,2026-05-31,548,0.7,0.06382489121213768,135,1765
2026-07,2012-01-05,2026-06-30,16644,225190,2026-04-04,2026-06-28,501,0.7,0.06381118031965032,144,1804
2026-08,2012-01-05,2026-07-31,16788,226994,2026-05-02,2026-07-26,485,0.7,0.06456087244093181,75,923
